threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,model,training_seconds
0.007172487311201407,0.04536753445635528,0.8006756756756757,0.08586956521739131,0.8276357537146927,0.323920038694825,29168,14961,177,711,HistGradientBoosting_ClassWeight,2.706749439239502
0.39495969309929274,0.046878090591415573,0.8006756756756757,0.08857053877296792,0.8269848543959674,0.294211997010344,29673,14456,177,711,LogisticRegression_ClassWeight,5.32129430770874
0.011833228086965228,0.0347215449136838,0.8018018018018018,0.06656071795830606,0.8002546638959203,0.2525082122652428,24335,19794,176,712,RandomForest_ClassWeight,46.31537890434265
