threshold,precision,recall,f1
0.01671975733441653,0.01904581597879591,1.0,0.037379704975254065
0.04656297076925652,0.01904617656525114,1.0,0.03738039944260149
0.047451790896240194,0.019046537165360294,1.0,0.03738109393575404
0.04932733016351808,0.019046897779124147,1.0,0.03738178845471315
0.0493444269624798,0.01904725840654347,1.0,0.037382482999480236
0.04958918406089416,0.01904761904761905,1.0,0.037383177570056776
0.049633583879371654,0.01904797970235165,1.0,0.03738387216644417
0.05026521562550533,0.019048340370742052,1.0,0.03738456678864389
0.0506678102945507,0.019048701052791033,1.0,0.03738526143665735
0.05073087689372516,0.019049061748499366,1.0,0.03738595611048601
0.05092026288814192,0.019049422457867827,1.0,0.03738665081013128
0.0509697181003767,0.019049783180897197,1.0,0.03738734553559465
0.05113594199032369,0.019050143917588244,1.0,0.03738804028687749
0.051242548712813404,0.01905050466794175,1.0,0.0373887350639813
0.05152596732983143,0.01905086543195849,1.0,0.03738942986690748
0.05158481466743455,0.019051226209639237,1.0,0.037390124695657494
0.051741782440854624,0.019051587000984773,1.0,0.03739081955023277
0.05190909798019363,0.01905194780599587,1.0,0.03739151443063475
0.051943418336339794,0.019052308624673307,1.0,0.03739220933686488
0.05210342350142013,0.01905266945701786,1.0,0.03739290426892459
0.05241625246304455,0.019053030303030304,1.0,0.03739359922681533
0.05259885032702662,0.019053391162711417,1.0,0.03739429421053853
0.052604388606324194,0.019053752036061973,1.0,0.03739498922009563
0.05263316586636987,0.01905411292308275,1.0,0.03739568425548808
0.05271690031620146,0.01905447382377453,1.0,0.037396379316717326
0.052896114550526195,0.01905483473813808,1.0,0.03739707440378479
0.05291683738070787,0.019055195666174186,1.0,0.03739776951669192
0.05295412093016279,0.01905555660788362,1.0,0.03739846465544017
0.05296335322200152,0.01905591756326716,1.0,0.037399159820030954
0.05299405544547191,0.019056278532325586,1.0,0.03739985501046574
0.05306332138102759,0.01905663951505967,1.0,0.037400550226745946
0.05307046150779466,0.019057000511470194,1.0,0.037401245468873044
0.05343022610748047,0.01905736152155793,1.0,0.03740194073684845
0.05343566104083862,0.01905772254532366,1.0,0.03740263603067361
0.05350751488651375,0.019058083582768157,1.0,0.03740333135034997
0.053718952192798895,0.019058444633892203,1.0,0.037404026695878966
0.05379255398935631,0.019058805698696574,1.0,0.037404722067262045
0.05381758423062878,0.019059166777182047,1.0,0.03740541746450065
0.05384618097948011,0.019059527869349398,1.0,0.03740611288759621
0.05388117197330211,0.019059888975199408,1.0,0.0374068083365502
0.05397496515691588,0.019060250094732854,1.0,0.03740750381136403
0.05407790611517121,0.01906061122795051,1.0,0.03740819931203915
0.054173904836479284,0.019060972374853158,1.0,0.037408894838577
0.05432439601933069,0.019061333535441576,1.0,0.03740959039097904
0.0543941938995148,0.019061694709716536,1.0,0.037410285969246684
0.054468528368265774,0.019062055897678825,1.0,0.03741098157338141
0.05448032266079458,0.019062417099329217,1.0,0.03741167720338463
0.05456993969677735,0.019062778314668485,1.0,0.0374123728592578
0.054583413492340874,0.019063139543697417,1.0,0.037413068541002376
0.05459379844851722,0.019063500786416783,1.0,0.03741376424861977
0.05473085487079119,0.019063862042827364,1.0,0.03741445998211145
0.05475593862290858,0.01906422331292994,1.0,0.037415155741478856
0.05477299708342389,0.01906458459672529,1.0,0.03741585152672343
0.05494267031331412,0.01906494589421419,1.0,0.037416547337846606
0.054965776295563734,0.019065307205397414,1.0,0.03741724317484983
0.05499893613143949,0.01906566853027575,1.0,0.03741793903773457
0.055026325038432286,0.019066029868849973,1.0,0.03741863492650224
0.05505962986964058,0.01906639122112086,1.0,0.03741933084115429
0.055095703558887876,0.019066752587089193,1.0,0.037420026781692185
0.05511771487740013,0.01906711396675575,1.0,0.03742072274811735
0.055190469589155196,0.019067475360121305,1.0,0.037421418740431235
0.055194445896863766,0.019067836767186642,1.0,0.03742211475863528
0.05521728041757699,0.019068198187952537,1.0,0.037422810802730924
0.05522750670816422,0.019068559622419774,1.0,0.03742350687271963
0.05528427377668158,0.019068921070589127,1.0,0.03742420296860283
0.055332040023268435,0.019069282532461377,1.0,0.03742489909038197
0.05536317335375211,0.019069644008037304,1.0,0.0374255952380585
0.05540976447482572,0.019070005497317688,1.0,0.03742629141163387
0.055486916805684225,0.019070367000303307,1.0,0.03742698761110952
0.055528541848466444,0.01907072851699494,1.0,0.03742768383648689
0.055637472019605755,0.019071090047393366,1.0,0.03742838008776742
0.05570108559241397,0.019071451591499367,1.0,0.037429076364952574
0.055721826474637116,0.019071813149313718,1.0,0.03742977266804378
0.055773464515991376,0.019072174720837203,1.0,0.0374304689970425
