feature,baseline_pr_auc,permuted_pr_auc,importance
txn_count_24h,0.3410927224759558,0.03098117843054179,0.310111544045414
failed_txn_count_24h,0.3410927224759558,0.2653488099865546,0.07574391248940121
international_ip_risk,0.3410927224759558,0.29399609001553834,0.047096632460417454
international_merchant_risk,0.3410927224759558,0.3167755034783529,0.024317218997602863
behavioral_risk_composite,0.3410927224759558,0.33140855337007125,0.009684169105884544
international_amount,0.3410927224759558,0.3350537379731618,0.006038984502793998
amount_deviation_from_user_mean,0.3410927224759558,0.33662760266926994,0.004465119806685847
max_risk_score,0.3410927224759558,0.33672803989766503,0.004364682578290757
failed_txn_ratio_24h,0.3410927224759558,0.33686548787996673,0.00422723459598906
avg_monthly_spend,0.3410927224759558,0.33700907028978383,0.00408365218617196
txn_count_1h,0.3410927224759558,0.3375019332489499,0.003590789227005897
transaction_amount,0.3410927224759558,0.33800614214792324,0.003086580328032551
geo_distance_from_last_txn,0.3410927224759558,0.3380212676892529,0.0030714547867028985
account_age_days,0.3410927224759558,0.3392988943555658,0.001793828120389973
mean_risk_score,0.3410927224759558,0.33954999012906817,0.0015427323468876208
transaction_dayofweek,0.3410927224759558,0.3400170546065209,0.0010756678694349153
ip_risk_score,0.3410927224759558,0.340297165585776,0.0007955568901797938
transaction_hour,0.3410927224759558,0.34036327492900753,0.0007294475469482586
international_velocity,0.3410927224759558,0.3406454747929849,0.000447247682970886
kyc_level,0.3410927224759558,0.3408118301421413,0.0002808923338145086
is_late_night,0.3410927224759558,0.3410491921193468,4.3530356608978416e-05
device_type,0.3410927224759558,0.3410926820999362,4.037601958328807e-08
is_international,0.3410927224759558,0.3410927224759558,0.0
is_weekend,0.3410927224759558,0.3410927224759558,0.0
log_geo_distance,0.3410927224759558,0.3410927224759558,0.0
log_transaction_amount,0.3410927224759558,0.3410927224759558,0.0
abs_amount_deviation,0.3410927224759558,0.3410927224759558,0.0
transaction_month,0.3410927224759558,0.3410927224759558,0.0
combined_network_merchant_risk,0.3410927224759558,0.3411562590356883,-6.353655973251326e-05
txn_velocity_ratio,0.3410927224759558,0.34127349648989524,-0.00018077401393945536
transaction_day,0.3410927224759558,0.34132080446657187,-0.00022808199061608025
credit_score_band,0.3410927224759558,0.3421879925163526,-0.001095270040396834
is_business_hours,0.3410927224759558,0.34229746328919497,-0.0012047408132391801
payment_channel,0.3410927224759558,0.3424534205699602,-0.0013606980940044089
txn_count_difference,0.3410927224759558,0.3424915171859764,-0.0013987947100206344
merchant_risk_score,0.3410927224759558,0.3430646705862129,-0.001971948110257138
amount_minus_monthly_spend,0.3410927224759558,0.3442516682954524,-0.003158945819496606
amount_to_monthly_spend,0.3410927224759558,0.34432468218041196,-0.0032319597044561665
