feature,importance_mean,importance_std
abs_amount_deviation,0.27872690477516754,0.0005772286738528474
txn_count_24h,0.24132131905980625,0.0023611743688967805
txn_count_difference,0.1876347950086702,0.0016704391209814453
transaction_amount,0.16541643827291794,0.0036892063483375047
amount_deviation_from_user_mean,0.1622893488659737,0.003492392693854428
failed_txn_count_24h,0.1324501130976553,0.0020013232833758564
txn_velocity_ratio,0.09127018363794831,0.0031555650773799422
log_transaction_amount,0.020243506900938013,0.001081980907399645
failed_txn_ratio,0.018833363410247234,0.0015939373617193696
amount_minus_monthly_spend,0.014972973332468331,0.001299841991690826
is_international,0.014924245925550325,0.0008230293313446272
combined_merchant_ip_risk,0.010980142500903936,0.0007261124209572001
behavioral_risk_composite,0.010565652277018686,0.0018387433816282877
avg_monthly_spend,0.009503509173439728,0.0007476072971447194
max_risk_score,0.008804974596993476,0.0013503290361999082
international_merchant_risk,0.004922100011832335,0.00018708927258913387
international_ip_risk,0.004207688567723726,7.252712062757694e-05
mean_risk_score,0.003707654156073529,0.0008305437350400602
ip_risk_score,0.002816098477863053,0.0009405226982565428
txn_count_1h,0.0020821009795460124,0.0003601887766508233
is_weekend,0.0009855754863676476,0.0005218206258152827
log_geo_distance,0.000603010414575389,0.00019444585825778148
merchant_risk_score,0.0005877926141155676,0.00032944980218644845
transaction_day,0.0005182384122089193,0.0003457321933193127
kyc_level,0.0001884100954092638,0.0001590350412919934
device_type,0.0001025042266388591,7.059741648170005e-05
is_late_night,5.911168549671553e-05,4.818248552736876e-05
credit_score_band,2.5450957260438518e-05,5.406461578925188e-05
geo_distance_from_last_txn,-7.139280398867538e-05,0.00011356559165392818
transaction_dayofweek,-7.714808301571378e-05,0.00012095873080651149
account_age_days,-0.00017093204484116184,0.0001783007588832069
amount_to_monthly_spend,-0.0003421737619453043,5.6907303857060846e-05
international_velocity,-0.0004155983967245221,0.0002681470408818067
is_business_hours,-0.00045510587032354666,6.85798559563885e-05
transaction_month,-0.0010045634376716535,0.00021700500035169482
payment_channel,-0.0019084661563404937,3.477156279695454e-05
transaction_hour,-0.0022290518269824275,0.00013859301753575522
